iter	Accuracy	Logloss
184	1	0.1050100937
185	1	0.1046059863
186	1	0.1043900466
187	1	0.1040786326
188	1	0.103018235
189	1	0.1021858945
190	1	0.1016074429
191	1	0.1011205885
192	1	0.100223366
193	1	0.09979112869
194	1	0.09873502054
195	1	0.09827533253
196	1	0.09782896432
197	1	0.09683134305
198	1	0.09618563397
199	1	0.0953502709
200	1	0.0949666945
201	1	0.09398406313
202	1	0.09313154048
203	1	0.09186006194
204	1	0.09090391035
205	1	0.08999830556
206	1	0.0895698146
207	1	0.08905677352
208	1	0.0886188275
209	1	0.08765513478
210	1	0.08678557754
211	1	0.0867036061
212	1	0.08607221481
213	1	0.08575531822
214	1	0.08514528115
215	1	0.08412540799
216	1	0.08378352207
217	1	0.08312693506
218	1	0.082363411
219	1	0.08219511659
220	1	0.0817006961
221	1	0.0811624289
222	1	0.08026373538
223	1	0.07965693147
224	1	0.07869886955
225	1	0.07855073561
226	1	0.07826121171
227	1	0.07800594284
228	1	0.07769351255
229	1	0.07667860953
230	1	0.07634238837
231	1	0.0761821223
232	1	0.07577113211
233	1	0.07541349479
234	1	0.07511214785
235	1	0.07467484308
236	1	0.07445446147
237	1	0.07413384023
238	1	0.07312538222
239	1	0.07276116516
240	1	0.07223035318
241	1	0.07186188603
242	1	0.07180276728
243	1	0.07157521035
244	1	0.07107564953
245	1	0.07047668573
246	1	0.06991970815
247	1	0.06900776893
248	1	0.06820729331
249	1	0.06787210787
250	1	0.06767233526
251	1	0.06697898956
252	1	0.06621460054
253	1	0.0658798544
254	1	0.06542227583
255	1	0.06490810894
256	1	0.06481582808
257	1	0.06438705623
258	1	0.06392166331
259	1	0.06337897482
260	1	0.06282111051
261	1	0.06235340834
262	1	0.06176488073
263	1	0.06137451252
264	1	0.06107076855
265	1	0.06081012876
266	1	0.06045860514
267	1	0.06027672006
268	1	0.0598545456
269	1	0.05954509024
270	1	0.05947329891
271	1	0.05922183454
272	1	0.05916219522
273	1	0.05887982022
274	1	0.05829430676
275	1	0.05787704354
276	1	0.05775785225
277	1	0.05744259039
278	1	0.05683661574
279	1	0.05623702278
280	1	0.05610373438
281	1	0.0557894187
282	1	0.05559149937
283	1	0.0554462051
284	1	0.05508771671
285	1	0.05497241543
286	1	0.05475403235
287	1	0.05471679504
288	1	0.05446146757
289	1	0.05438269796
290	1	0.05407327016
291	1	0.05378089712
292	1	0.05360042113
293	1	0.05350917201
294	1	0.05316768242
295	1	0.05267979822
296	1	0.05243297417
297	1	0.05219427911
298	1	0.05189417215
299	1	0.05166040252
